poi_id,name,type,rating,vote_count,lat,lon,description,open_hhmm,close_hhmm,open_days,hours_detail,hours_source_type,needs_review,name_norm,is_service_like,default_type_ok,is_destination_candidate,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min
9,Candi Borobudur,Budaya dan Sejarah,4.7,81922,-7.607086854,110.2036226,Candi yang pernah masuk sebagai salah satu dari Tujuh Keajaiban Dunia ini dihiasi oleh banyak relief di dinding candi. Relief yang ada di Candi Borobudur mencapai 2.672 dan panjangnya bisa mencapai 6 kilometer,07:00,17:00,Setiap hari,"Loket tutup pukul 16:30. Senin: zona 1 (halaman candi) tutup, zona 2 tetap buka",wisata_jogja_csv,0,candiborobudur,False,True,0,,,,
10,Candi Prambanan,Budaya dan Sejarah,4.7,71751,-7.751834561,110.4915318,"Candi Prambanan adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu Brahma sebagai dewa pencipta, Wisnu sebagai dewa pemelihara, dan Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan.",06:30,17:00,Setiap hari,Candi Prambanan,wisata_jogja_csv,0,candiprambanan,False,True,1,HT_250,Terminal Prambanan,465.33912052421863,5.816739006552733
24,Tebing Breksi,Alam,4.4,51431,-7.781476547,110.5045757,"Tebing Breksi merupakan tempat wisata yang berada di wilayah Kabupaten Sleman. Lokasinya berada di sebelah selatan Candi Prambanan dan berdekatan dengan Candi Ijo serta Kompleks Keraton Boko. tempat ini merupakan perbukitan batuan breksi. dari atas tebing wisatawan dapat melihat keseluruhan kota jogja, bahkan aktivitas masyarakat pun dapat terlihat dari atas tebing, serpeti pesawat yang lepas landas, kendaraan yang hilidr mudik.",06:00,18:00,Selasa–Minggu,Senin tutup; Sabtu–Minggu tutup pukul 19:00,wisata_jogja_csv,0,tebingbreksi,False,True,0,,,,
343,Gembira Loka Zoo,Buatan,4.5,36337,-7.8062344,110.3967977,"Gambira Loka adalah kebun binatang yang berada di Yogyakarta. Berisi berbagai macam spesies dari belahan dunia, seperti orangutan, gajah asia, simpanse, harimau, dan lain sebagainya. Kebun Binatang Gembira Loka menjadi daya tarik tersendiri bagi para wisatawan Yogyakarta. Gembira Loka Zoo sempat rusak parah akibat gempa bumi yang mengguncang kota Yogyakarta tahun 2006. Tetapi, setelah direnovasi Kebun Binatang Gembira Loka tetap dicari para wisatawan.",08:00,16:00,Setiap hari,Senin–Kamis 09:00–15:00; Sabtu–Minggu & libnas 08:30–16:00,wisata_jogja_csv,0,gembiralokazoo,False,True,1,HT_048,Gembira Loka - A,563.2310129114242,7.040387661392802
346,The Palace of Yogyakarta (Keraton Yogyakarta),Budaya dan Sejarah,4.6,30091,-7.8052845,110.3642031,"Kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas.",08:00,14:00,Selasa–Minggu,Senin dan 17 Agustus tutup,wisata_jogja_csv,0,thepalaceofyogyakartakeratonyogyakarta,False,True,1,HT_213,Senopati,523.9556072119696,6.54944509014962
8,Taman Sari,Budaya dan Sejarah,4.6,27899,-7.809833449,110.3595117,"Taman Sari Yogyakarta, merupakan salah satu bangunan milik kesultanan Yogyakarta yang difungsikan sebagai destinasi wisata. Namun selain sebagai destinasi wisata, taman sari pada saat tertentu juga masih digunakan sebagai tempat ritual oleh keluarga raja. Dengan bentuk bangunan arsitektur ala Portugis-Jawa, bangunan di taman ini menjadi daya tarik utama. Meskipun sekarang kondisi bangunan tak lagi utuh seperti saat masih difungsikan sebagai taman kesultanan, namun tetap saja aura keindahan terpancar kuat dari bangunan bangunan di taman ini.",09:00,15:00,Setiap hari,Taman Sari,wisata_jogja_csv,0,tamansari,False,True,1,HT_240,Tamansari,385.98033114949146,4.824754139368643
418,Hutan Pinus Mangunan Dlingo,Alam,4.6,18271,-7.9267837,110.4319967,"hutan pinus mangunan yang ada di Jogja bisa menjadi destinasi hutan yang tepat. Disana banyak terdapat pepohonan yang tinggi menjulang, yang dikenal dengan nama Pinus Merkusi. Nggak heran deh kalau banyak wisatawan yang merasa kepincut dengan objek wisata ini, sebab kesejukan dan keindahan pemandangannya benar-benar mempesona mata.",06:00,18:00,Setiap hari,Hutan Pinus Mangunan,wisata_jogja_csv,0,hutanpinusmangunandlingo,False,True,0,,,,
126,Jogja Bay,Wisata Air,4.4,16877,-7.7478461,110.4188754,"Jogja Bay Waterpark (JBW) salah satu waterpark terbesar di asia tenggara yang berlokasi di kota wisata terbesar kedua di Indonesia yaitu Yogyakarta. Dan belakangan ini sudah menjadi salah satu tujuan destinasi wisata di Yogyakarta. Waterpark yang saat ini merupakan atraksi wahana air terbesar, terlengkap berstandar internasional dan memiliki karakter Bajak Laut – dengan bangga menyampaikan sesuai TripAdvisor Internasional telah merilis tahun 2019 “Jogja Bay Waterpark di Yogyakarta sebagai Waterpark Terbaik ke 3 di Asia”. Jogjabay telah tersertifikasi CHSE (Clean, Health, Safety, & Enviroment) dengan score 100% dari Kemenparekraf RI dan Sucofindo.",10:00,17:00,Selasa–Minggu,Senin tutup; Sabtu–Minggu & libnas 08:00–17:00,wisata_jogja_csv,0,jogjabay,False,True,0,,,,
158,The World Landmarks - Merapi Park Yogyakarta,Buatan,4.2,16201,-7.6209046,110.4216275,"Merapi Park merupakan tempat wisata yang dihadirkan sebagai tempat rekreasi keluarga. taman bermain dengan taman taman yang tertata rapi dan terkesan sejuk, sangat pas anda habiskan bersma sang buah hati atau kekasih tersayang. taman bunga dan bangku panjang paduan yang sempurna untuk sekedar bercengkrama lepas tanpa terganggu bisingnya lalu lalang kendaraan. tentu saja karena merapi park jogja ini terletak di bawah kaki gunung merapi kaliurang yang sepi dan sejuk. panorama kaki gunung inilah akan membuat hasil jepretan foto Anda menjadi lebih berwarna, cantik dan menarik.",09:00,17:00,Setiap hari,Weekday 09:00–17:00; Weekend 08:00–17:00,wisata_jogja_csv,0,theworldlandmarksmerapiparkyogyakarta,False,True,0,,,,
457,The Lost World Castle,"Buatan, Alam",4.3,16110,-7.6041648,110.4510042,"Di dalam The Lost World Casle, pengunjung disuguhkan potret gagahnya Gunung Merapi. Selain itu, di dalam objek wisata ini terdapat berbagai latar untuk mengambil foto yang menarik, di antaranya taman koboi, awan putih, sepeda motor terbang, sayap bidadari, dan lain-lain. Selain itu, ada juga latar foto trik tiga-dimensi berupa air terjun, permadani terbang, dan beberapa bunga sakura tiruan yang turut menghidupkan suasana.",07:00,18:00,Setiap hari,The Lost World Castle,wisata_jogja_csv,0,thelostworldcastle,False,True,0,,,,
