poi_id,open_hhmm,close_hhmm,open_days,hours_detail,hours_source_type,needs_review
9,07:00,17:00,Setiap hari,"Loket tutup pukul 16:30. Senin: zona 1 (halaman candi) tutup, zona 2 tetap buka",wisata_jogja_csv,0
10,06:30,17:00,Setiap hari,Candi Prambanan,wisata_jogja_csv,0
24,06:00,18:00,Selasa–Minggu,Senin tutup; Sabtu–Minggu tutup pukul 19:00,wisata_jogja_csv,0
343,08:00,16:00,Setiap hari,Senin–Kamis 09:00–15:00; Sabtu–Minggu & libnas 08:30–16:00,wisata_jogja_csv,0
346,08:00,14:00,Selasa–Minggu,Senin dan 17 Agustus tutup,wisata_jogja_csv,0
8,09:00,15:00,Setiap hari,Taman Sari,wisata_jogja_csv,0
418,06:00,18:00,Setiap hari,Hutan Pinus Mangunan,wisata_jogja_csv,0
126,10:00,17:00,Selasa–Minggu,Senin tutup; Sabtu–Minggu & libnas 08:00–17:00,wisata_jogja_csv,0
158,09:00,17:00,Setiap hari,Weekday 09:00–17:00; Weekend 08:00–17:00,wisata_jogja_csv,0
457,07:00,18:00,Setiap hari,The Lost World Castle,wisata_jogja_csv,0
43,08:00,20:00,Selasa–Minggu,Senin tutup; Jumat–Minggu 08:00–21:00,wisata_jogja_csv,0
13,08:00,20:00,Selasa–Minggu,Senin tutup; Jumat–Minggu 08:00–21:00,wisata_jogja_csv,0
121,09:00,17:00,Selasa–Minggu,Senin tutup; Sabtu–Minggu & libnas 08:00–18:00,wisata_jogja_csv,0
90,00:00,23:59,24 jam,Tugu Yogyakarta - landmark terbuka,wisata_jogja_csv,0
26,10:00,21:00,Setiap hari,Weekday 10:00–21:00; Weekend 08:00–21:00,wisata_jogja_csv,0
395,00:00,23:59,24 jam,Pantai Goa Cemara,wisata_jogja_csv,0
347,10:00,22:00,Setiap hari,XT Square,wisata_jogja_csv,0
21,00:00,23:59,24 jam,Kaliadem / Bunker - kawasan terbuka,wisata_jogja_csv,0
344,08:00,16:00,Selasa–Minggu,Senin tutup,wisata_jogja_csv,0
249,08:00,17:00,Setiap hari,Ratu Boko; tiket sunset s.d. 18:00,wisata_jogja_csv,0
368,00:00,23:59,24 jam,Pantai Depok,wisata_jogja_csv,0
45,08:00,15:30,Selasa–Minggu,Senin tutup; Jumat 08:00–14:00,wisata_jogja_csv,0
12,00:00,23:59,24 jam,Masjid Gedhe Kauman - masjid aktif,wisata_jogja_csv,0
5,06:00,18:00,Setiap hari,Bukit Paralayang Watugupit,wisata_jogja_csv,0
371,00:00,23:59,24 jam,Pantai Drini,wisata_jogja_csv,0
19,00:00,23:59,24 jam,Pantai Parangtritis,wisata_jogja_csv,0
353,06:00,18:00,Setiap hari,Embung Tambakboyo,wisata_jogja_csv,0
464,06:00,17:00,Setiap hari,Lava Merapi & Alien Stone,wisata_jogja_csv,0
221,06:00,17:00,Setiap hari,Candi Plaosan,wisata_jogja_csv,0
466,07:00,17:00,Setiap hari,Agro Tourism Bhumi Merapi,wisata_jogja_csv,0
171,08:00,16:00,Setiap hari,Wisata Kalibiru,wisata_jogja_csv,0
52,09:00,21:00,Setiap hari,De Mata Trick Eye Museum,wisata_jogja_csv,0
16,07:30,17:00,Setiap hari,Candi Sambisari,wisata_jogja_csv,0
391,00:00,23:59,24 jam,Pantai Wediombo,wisata_jogja_csv,0
366,00:00,23:59,24 jam,Pantai Parangkusumo,wisata_jogja_csv,0
170,08:30,15:15,Setiap hari,Taman Sungai Mudal,wisata_jogja_csv,0
131,16:30,22:00,Setiap hari,Taman Pelangi Jogja,wisata_jogja_csv,0
96,08:00,16:00,Setiap hari,Situs Warungboto,wisata_jogja_csv,0
373,00:00,23:59,24 jam,Pantai Cemara Sewu,wisata_jogja_csv,0
460,06:00,17:00,Setiap hari,Bukit Klangon,wisata_jogja_csv,0
36,07:00,17:00,Setiap hari,Taman Wisata Kaliurang,wisata_jogja_csv,0
46,08:00,20:00,Selasa–Minggu,Jogja National Museum; Senin tutup,wisata_jogja_csv,0
25,08:30,16:00,Selasa–Minggu,Taman Pintar; Senin tutup,wisata_jogja_csv,0
415,00:00,23:59,24 jam,Pantai Indrayanti,wisata_jogja_csv,0
204,06:00,18:00,Setiap hari,Mangrove Jembatan Api-Api,wisata_jogja_csv,0
419,00:00,23:59,24 jam,Embung Nglanggeran,wisata_jogja_csv,0
178,06:00,17:00,Setiap hari,Bukit Wisata Pulepayung,wisata_jogja_csv,0
272,06:00,18:00,Setiap hari,Seribu Batu Songgo Langit,wisata_jogja_csv,0
269,06:00,17:00,Setiap hari,Jurang Tembelan Kanigoro,wisata_jogja_csv,0
315,00:00,23:59,24 jam,Malioboro - kawasan komersial,wisata_jogja_csv,0
463,07:00,17:00,Setiap hari,Blue Lagoon Jogja,wisata_jogja_csv,0
108,00:00,23:59,24 jam,Bundaran UGM - ruang publik,wisata_jogja_csv,0
381,00:00,23:59,24 jam,Pantai Pok Tunggal,wisata_jogja_csv,0
399,00:00,23:59,24 jam,Pantai Ngobaran,wisata_jogja_csv,0
271,05:30,17:00,Setiap hari,Bukit Panguk Kediwung,wisata_jogja_csv,0
180,07:00,16:00,Setiap hari,Kebun Teh Nglinggo,wisata_jogja_csv,0
376,00:00,23:59,24 jam,Pantai Nglambor,wisata_jogja_csv,0
185,08:00,16:00,Setiap hari,Air Terjun Kedung Pedut,wisata_jogja_csv,0
380,00:00,23:59,24 jam,Pantai Ngandong,wisata_jogja_csv,0
389,00:00,23:59,24 jam,Pantai Sepanjang,wisata_jogja_csv,0
14,08:00,16:00,Selasa–Minggu,Terkonfirmasi: 08:00 - 16:00,wisata_jogja_csv,0
22,06:00,18:00,Setiap hari,Terkonfirmasi: 06:00 - 18:00,wisata_jogja_csv,0
138,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
412,06:00,18:00,Setiap hari,Terkonfirmasi: 06:00 - 18:00,wisata_jogja_csv,0
411,00:00,23:59,24 jam,Terkonfirmasi: 00:00 - 23:59,wisata_jogja_csv,0
51,08:00,16:00,Selasa–Minggu,Terkonfirmasi: 08:00 - 16:00,wisata_jogja_csv,0
281,06:00,18:00,Setiap hari,Terkonfirmasi: 06:00 - 18:00,wisata_jogja_csv,0
143,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
147,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
23,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
367,00:00,23:59,24 jam,Terkonfirmasi: 00:00 - 23:59,wisata_jogja_csv,0
469,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
162,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
327,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
480,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
284,06:00,18:00,Setiap hari,Terkonfirmasi: 06:00 - 18:00,wisata_jogja_csv,0
255,08:00,16:00,Selasa–Minggu,Terkonfirmasi: 08:00 - 16:00,wisata_jogja_csv,0
39,06:00,18:00,Setiap hari,Terkonfirmasi: 06:00 - 18:00,wisata_jogja_csv,0
35,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
18,00:00,23:59,24 jam,Terkonfirmasi: 00:00 - 23:59,wisata_jogja_csv,0
462,06:00,18:00,Setiap hari,Terkonfirmasi: 06:00 - 18:00,wisata_jogja_csv,0
283,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
382,00:00,23:59,24 jam,Terkonfirmasi: 00:00 - 23:59,wisata_jogja_csv,0
156,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
42,08:00,16:00,Selasa–Minggu,Terkonfirmasi: 08:00 - 16:00,wisata_jogja_csv,0
76,08:00,16:00,Selasa–Minggu,Terkonfirmasi: 08:00 - 16:00,wisata_jogja_csv,0
287,08:00,17:00,Setiap hari,Terkonfirmasi: 08:00 - 17:00,wisata_jogja_csv,0
465,05:00,17:00,Setiap hari,Lava Tour Merapi - jeep tour,wisata_jogja_csv,0
41,08:00,15:30,Selasa–Minggu,Museum Sonobudoyo; Senin tutup,wisata_jogja_csv,0
68,09:00,17:00,Selasa–Minggu,Museum Cokelat Monggo; Senin tutup,wisata_jogja_csv,0
31,00:00,23:59,24 jam,Pantai Baron,wisata_jogja_csv,0
